incident_id,start_date,end_date,n_days,lat_first,lon_first,mean_temp_max,temp_max_max,temp_max_min,mean_temp_min,temp_min_max,temp_min_min,rh_max_mean,rh_max_max,rh_max_min,rh_min_mean,rh_min_max,rh_min_min,precip_sum_mean,precip_sum_max,precip_sum_min,rain_sum_mean,rain_sum_max,rain_sum_min,precip_hours_mean,precip_hours_max,precip_hours_min,wind_max_mean,wind_max_max,wind_max_min,gust_max_mean,gust_max_max,gust_max_min,wind_dir_mean,wind_dir_max,wind_dir_min,radiation_mean,radiation_max,radiation_min,sunshine_mean,sunshine_max,sunshine_min,et0_mean,et0_max,et0_min,dry_day_sum,high_wind_sum
AG120357,2020-05-03,2020-05-04,2,37.1302777777778,-8.88388888888889,24.15,25.9,22.4,14.75,14.9,14.6,93.5,100,87,49.5,54,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.85,27.7,26.0,53.099999999999994,54.4,51.8,174.0,236,112,26.345,26.96,25.73,46558.16,46589.08,46527.24,4.93,5.53,4.33,2,0
AG120550,2020-06-19,2020-06-21,3,37.1644444444444,-8.85805555555556,23.46666666666667,24.2,22.1,16.066666666666666,16.3,15.7,86.66666666666667,88,85,53.666666666666664,57,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.733333333333334,32.4,31.0,59.03333333333333,60.5,56.5,342.6666666666667,345,339,30.036666666666665,30.2,29.86,48138.636666666665,48253.34,48038.09,5.656666666666666,5.69,5.63,3,3
AG120614,2020-07-06,2020-07-07,2,37.3809469996558,-8.34647199948629,39.1,39.6,38.6,20.3,20.5,20.1,73.0,73,73,13.5,16,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,20.4,16.4,39.2,42.8,35.6,314.0,329,299,28.955,29.69,28.22,47842.265,48042.48,47642.05,7.73,7.79,7.67,2,0
AG120650,2020-07-14,2020-07-14,1,37.4016666666667,-7.46111111111111,35.6,35.6,35.6,21.5,21.5,21.5,98.0,98,98,26.0,26,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,21.7,21.7,50.8,50.8,50.8,184.0,184,184,27.66,27.66,27.66,47163.1,47163.1,47163.1,7.55,7.55,7.55,1,0
AG120682,2020-07-20,2020-07-20,1,37.1780555555556,-7.63138888888889,36.8,36.8,36.8,22.1,22.1,22.1,53.0,53,53,21.0,21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,18.1,18.1,39.6,39.6,39.6,179.0,179,179,27.52,27.52,27.52,46964.66,46964.66,46964.66,7.17,7.17,7.17,1,0
AG120768,2020-08-10,2020-08-10,1,37.1283333333333,-8.78666666666667,23.5,23.5,23.5,17.2,17.2,17.2,97.0,97,97,57.0,57,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.9,31.9,31.9,56.5,56.5,56.5,338.0,338,338,26.83,26.83,26.83,45941.44,45941.44,45941.44,4.57,4.57,4.57,1,1
AT120105,2020-06-26,2020-06-26,1,38.5486111111111,-8.42194444444444,27.1,27.1,27.1,14.7,14.7,14.7,95.0,95,95,33.0,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,19.7,19.7,40.0,40.0,40.0,322.0,322,322,26.54,26.54,26.54,48160.43,48160.43,48160.43,5.64,5.64,5.64,1,0
AT120137,2020-07-05,2020-07-05,1,38.5438888888889,-7.39111111111111,38.9,38.9,38.9,20.8,20.8,20.8,57.0,57,57,11.0,11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,20.8,20.8,43.2,43.2,43.2,341.0,341,341,30.1,30.1,30.1,48473.11,48473.11,48473.11,7.5,7.5,7.5,1,0
AT120175,2020-07-14,2020-07-14,1,38.7630555555556,-8.3575,37.6,37.6,37.6,22.3,22.3,22.3,66.0,66,66,21.0,21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,25.5,25.5,55.8,55.8,55.8,335.0,335,335,28.95,28.95,28.95,48274.41,48274.41,48274.41,8.29,8.29,8.29,1,0
AT120189,2020-07-18,2020-07-18,1,38.9230850002501,-7.98132299953037,38.6,38.6,38.6,21.8,21.8,21.8,61.0,61,61,20.0,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,19.2,19.2,44.3,44.3,44.3,252.0,252,252,28.8,28.8,28.8,47857.23,47857.23,47857.23,8.02,8.02,8.02,1,0
