incident_id,source_file,date,lat,lon,temp_max,temp_min,rh_max,rh_min,precip_sum,rain_sum,precip_hours,wind_max,gust_max,wind_dir,radiation,sunshine,et0
AG120357,2020.csv,2020-05-03,37.1302777777778,-8.88388888888889,25.9,14.6,87,45,0.0,0.0,0.0,27.7,54.4,112,26.96,46527.24,5.53
AG120357,2020.csv,2020-05-04,37.1302777777778,-8.88388888888889,22.4,14.9,100,54,0.0,0.0,0.0,26.0,51.8,236,25.73,46589.08,4.33
AG120550,2020.csv,2020-06-19,37.1644444444444,-8.85805555555556,22.1,16.2,85,48,0.0,0.0,0.0,31.0,56.5,339,30.2,48038.09,5.63
AG120550,2020.csv,2020-06-20,37.1644444444444,-8.85805555555556,24.1,15.7,87,56,0.0,0.0,0.0,31.8,60.1,344,29.86,48124.48,5.69
AG120550,2020.csv,2020-06-21,37.1644444444444,-8.85805555555556,24.2,16.3,88,57,0.0,0.0,0.0,32.4,60.5,345,30.05,48253.34,5.65
AG120614,2020.csv,2020-07-06,37.3809469996558,-8.34647199948629,38.6,20.1,73,16,0.0,0.0,0.0,20.4,42.8,329,29.69,48042.48,7.79
AG120614,2020.csv,2020-07-07,37.3809469996558,-8.34647199948629,39.6,20.5,73,11,0.0,0.0,0.0,16.4,35.6,299,28.22,47642.05,7.67
AG120650,2020.csv,2020-07-14,37.4016666666667,-7.46111111111111,35.6,21.5,98,26,0.0,0.0,0.0,21.7,50.8,184,27.66,47163.1,7.55
AG120682,2020.csv,2020-07-20,37.1780555555556,-7.63138888888889,36.8,22.1,53,21,0.0,0.0,0.0,18.1,39.6,179,27.52,46964.66,7.17
AG120768,2020.csv,2020-08-10,37.1283333333333,-8.78666666666667,23.5,17.2,97,57,0.0,0.0,0.0,31.9,56.5,338,26.83,45941.44,4.57
AT120105,2020.csv,2020-06-26,38.5486111111111,-8.42194444444444,27.1,14.7,95,33,0.0,0.0,0.0,19.7,40.0,322,26.54,48160.43,5.64
AT120137,2020.csv,2020-07-05,38.5438888888889,-7.39111111111111,38.9,20.8,57,11,0.0,0.0,0.0,20.8,43.2,341,30.1,48473.11,7.5
AT120175,2020.csv,2020-07-14,38.7630555555556,-8.3575,37.6,22.3,66,21,0.0,0.0,0.0,25.5,55.8,335,28.95,48274.41,8.29
AT120189,2020.csv,2020-07-18,38.9230850002501,-7.98132299953037,38.6,21.8,61,20,0.0,0.0,0.0,19.2,44.3,252,28.8,47857.23,8.02
AT120235,2020.csv,2020-08-01,38.5997222222222,-7.46805555555556,35.4,17.6,75,23,0.0,0.0,0.0,18.4,37.4,314,28.07,46829.18,7.72
AT120243,2020.csv,2020-08-03,38.729617000156,-7.25959799978468,35.4,17.9,70,21,0.0,0.0,0.0,23.7,48.6,314,26.89,46800.0,7.42
AT120318,2020.csv,2020-09-08,38.5297219996982,-7.93471300005913,33.7,21.5,70,15,0.0,0.0,0.0,17.4,39.2,71,22.96,41607.28,6.76
AT12088,2020.csv,2020-06-19,38.3755555555556,-8.28555555555556,27.7,13.8,93,30,0.0,0.0,0.0,18.4,39.6,321,30.27,48556.24,6.29
AT220103,2020.csv,2020-06-29,39.2972119998932,-7.80460499975416,34.1,17.8,92,29,0.0,0.0,0.0,19.1,38.9,304,29.81,49336.58,7.0
AT220129,2020.csv,2020-07-20,38.8604529995388,-7.38381199998988,36.8,21.1,67,15,0.0,0.0,0.0,13.8,33.1,327,28.66,47063.45,7.8
AT220130,2020.csv,2020-07-20,38.9747130001916,-7.31510499954224,36.8,19.9,73,15,0.0,0.0,0.0,13.2,31.3,302,28.62,46961.35,7.4
AT220139,2020.csv,2020-07-21,39.116933000005,-7.97679500050015,33.3,24.3,49,23,0.4,0.4,2.0,26.3,55.4,92,19.96,41099.43,6.34
AT220166,2020.csv,2020-07-29,39.2921950001187,-7.84430200046963,37.2,15.7,99,19,0.0,0.0,0.0,16.2,34.2,273,27.86,46228.81,6.67
AT220200,2020.csv,2020-08-18,39.4167179999997,-7.34110199981266,28.7,16.9,99,37,0.0,0.0,0.0,14.7,32.8,288,22.07,43590.17,4.97
AT220204,2020.csv,2020-08-19,38.9247390000025,-7.71782799998919,32.1,15.8,100,18,0.0,0.0,0.0,16.6,37.4,265,25.09,41453.65,5.84
AT220212,2020.csv,2020-08-23,39.254394999875,-7.99832699987623,33.5,15.3,94,24,0.0,0.0,0.0,24.8,51.5,323,24.89,45005.43,6.51
AT220220,2020.csv,2020-08-29,39.0973399999407,-7.07451699998644,27.3,15.6,61,19,0.0,0.0,0.0,21.0,45.4,338,24.75,44155.66,6.45
AT22093,2020.csv,2020-06-23,38.7736769999398,-7.21210300021701,38.3,21.0,70,17,0.0,0.0,0.0,19.8,39.2,298,27.67,43147.16,7.34
AT22094,2020.csv,2020-06-24,39.0209379998843,-7.70808800008562,32.0,17.1,91,32,0.0,0.0,0.0,15.1,33.5,280,28.99,48592.99,6.48
AT320115,2020.csv,2020-06-22,37.7566666666667,-8.53555555555556,36.0,16.4,91,21,0.0,0.0,0.0,22.2,49.7,337,29.86,48355.1,6.96
AT320115,2020.csv,2020-06-23,37.7566666666667,-8.53555555555556,33.1,16.7,87,31,0.0,0.0,0.0,18.5,42.1,292,29.54,48357.24,6.57
AT320204,2020.csv,2020-07-20,37.7827777777778,-8.77666666666667,31.7,16.3,98,26,0.0,0.0,0.0,26.3,50.8,342,22.98,43334.29,5.39
AT320204,2020.csv,2020-07-21,37.7827777777778,-8.77666666666667,29.2,20.3,89,46,0.0,0.0,0.0,25.5,49.0,32,27.41,47492.56,6.4
BI120135,2020.csv,2020-04-03,40.4022222222222,-6.89333333333333,15.3,2.2,98,43,0.0,0.0,0.0,14.3,26.6,116,22.17,42853.62,3.36
BI120240,2020.csv,2020-07-09,40.8408333333333,-7.02472222222222,34.3,18.8,82,16,0.0,0.0,0.0,15.8,36.4,327,29.18,49275.04,6.89
BI120240,2020.csv,2020-07-10,40.8408333333333,-7.02472222222222,34.5,18.6,76,22,0.0,0.0,0.0,12.7,28.1,356,29.72,49606.03,7.08
BI120241,2020.csv,2020-07-09,40.8088888888889,-7.05972222222222,34.2,18.7,82,16,0.0,0.0,0.0,15.8,36.4,327,29.18,49275.04,6.87
BI120241,2020.csv,2020-07-10,40.8088888888889,-7.05972222222222,34.4,18.5,76,22,0.0,0.0,0.0,12.7,28.1,356,29.72,49606.03,7.07
BI120246,2020.csv,2020-07-11,40.945,-7.15694444444444,34.5,19.2,65,21,0.0,0.0,0.0,14.2,32.8,33,24.98,40314.29,6.29
BI120277,2020.csv,2020-07-14,40.7286111111111,-7.35777777777778,31.4,19.3,54,19,0.0,0.0,0.0,20.3,40.3,36,29.21,48374.13,8.12
BI120277,2020.csv,2020-07-15,40.7286111111111,-7.35777777777778,32.1,16.5,49,18,0.0,0.0,0.0,26.1,51.8,51,29.75,49116.94,8.73
